dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖北,M01-M02,13,derived_from_value_bins,130,1.0,0.0,1.0,0.9692307692307692,1.4822911757904216,0.07727655393360448,-0.01177701917102567,0.8300730174682908,0.4444444444444444,0.7887323943661972
湖北,M01-M02,13,direct_diverging_delta,130,1.0,0.0,1.0,1.0,0.6740772041588011,0.03514178878843699,0.07979008061822437,0.964726310966524,0.625,0.8571428571428571
湖北,M02-M03,13,derived_from_value_bins,130,1.0,0.0,1.0,0.9846153846153847,1.2918160640635257,0.06734648048732368,0.18309294736840984,0.7777893861745147,0.3684210526315789,0.7692307692307692
湖北,M02-M03,13,direct_diverging_delta,130,1.0,0.0,1.0,1.0,0.7499121736213513,0.03909530696586327,-0.03503868386619147,0.919186039709644,0.3,0.9
湖北,M03-M04,13,derived_from_value_bins,130,1.0,0.0,1.0,1.0,1.3339735389146388,0.06954428374773872,-0.28390701603918167,0.7042940388920779,0.3,0.5306122448979591
湖北,M03-M04,13,direct_diverging_delta,130,1.0,0.0,1.0,1.0,0.726675989840626,0.03788393079465665,-0.012230262277507379,0.9362842046161122,0.23809523809523808,0.9295774647887324
湖北,M04-M05,13,derived_from_value_bins,130,1.0,0.0,1.0,0.676923076923077,1.4971335723984076,0.0780503352801536,0.23837010844818166,0.7860316075576198,0.23809523809523808,0.8474576271186441
湖北,M04-M05,13,direct_diverging_delta,130,1.0,0.0,1.0,0.7615384615384615,0.7419864261619206,0.038682112540222684,0.05258884326971752,0.9034338352567353,0.3684210526315789,0.7764705882352941
湖北,M05-M06,13,derived_from_value_bins,130,1.0,0.0,1.0,1.0,1.4000015937673334,0.07298653627227016,-0.08810824762698577,0.8903264228574863,0.23809523809523808,0.7037037037037038
湖北,M05-M06,13,direct_diverging_delta,130,1.0,0.0,1.0,1.0,0.9282272090996775,0.04839143695797876,0.2624883079855129,0.9521424598757177,0.13043478260869565,0.0
湖北,M06-M07,13,derived_from_value_bins,130,1.0,0.0,1.0,0.6923076923076923,1.3569679159991295,0.07074305376672081,0.3807099131247402,0.7061969525809604,0.3684210526315789,0.5
湖北,M06-M07,13,direct_diverging_delta,130,1.0,0.0,1.0,0.8846153846153846,0.709457620605859,0.03698628243747091,0.025544486039118058,0.8940988764893503,0.18181818181818182,0.8571428571428571
湖北,M07-M08,13,derived_from_value_bins,130,1.0,0.0,1.0,0.2692307692307692,1.3945876678747657,0.0727042910946272,0.2748173567385729,0.468653172060073,0.04,0.5294117647058822
湖北,M07-M08,13,direct_diverging_delta,130,1.0,0.0,1.0,0.3769230769230769,0.8075874328757141,0.042102101686898936,-0.02724678830645076,0.8287045108484536,0.3,0.8048780487804877
湖北,M08-M09,13,derived_from_value_bins,130,1.0,0.0,1.0,0.5923076923076923,1.6368199709310958,0.08533263155655568,-0.5704449161018208,0.73490701762506,0.625,0.7307692307692308
湖北,M08-M09,13,direct_diverging_delta,130,1.0,0.0,1.0,0.8076923076923077,0.7548377106707249,0.03935209087962092,-0.07575879445901804,0.9353210931310534,0.625,0.8148148148148148
湖北,M09-M10,13,derived_from_value_bins,130,1.0,0.0,1.0,0.35384615384615387,1.3891917392942872,0.07242298417411014,0.0559558884750099,0.5393684690189634,0.3,0.6075949367088608
湖北,M09-M10,13,direct_diverging_delta,130,1.0,0.0,1.0,0.4,0.7471873343008207,0.03895325242479032,-0.04512643426660514,0.8444341056617941,0.625,0.7764705882352941
湖北,M10-M11,13,derived_from_value_bins,130,1.0,0.0,1.0,0.9384615384615385,1.4136492204604953,0.07369803046278063,-0.1397422375791634,0.8895670719401504,0.7333333333333333,0.8852459016393442
湖北,M10-M11,13,direct_diverging_delta,130,1.0,0.0,1.0,0.9692307692307692,1.1155848669570099,0.05815898761789919,-0.42030276097984015,0.9721644489185107,0.3684210526315789,0.9705882352941176
湖北,M11-M12,13,derived_from_value_bins,130,1.0,0.0,1.0,1.0,2.4779359938729932,0.1291826852928794,-1.6376720070549642,0.8079280852071645,0.4444444444444444,0.7076923076923077
湖北,M11-M12,13,direct_diverging_delta,130,1.0,0.0,1.0,1.0,1.9843273099238776,0.10344929450550651,-1.553968274971053,0.8862321482306028,0.13043478260869565,0.0
湖南,M01-M02,5,derived_from_value_bins,137,1.0,0.0,1.0,0.6277372262773723,2.858837011881958,0.19048826673272096,-0.5004133307468976,0.3765506115190876,0.12,0.5289256198347106
